,name,grape_variety,description
57,"Eileen Hardy Chardonnay 2016, Australia",Chardonnay,"The Eileen Hardy Chardonnay is one of Australia's most iconic whites from one of the country's most historic cellars. Winning gold at the International Wine Challenge and 97 points from Australia's top wine critic, James Halliday, it's a toasted cocktail of ripe tropical fruit, snappy acidity and a buttery finish."
58,Larry Cherubino ‘Folklore’ Cabernet/Merlot 2018,Cabernet Sauvignon,"The winemaking roots of the Cherubinos go back to the mid-1800s when their ancestors planted the first vines on the Frankland River. Nowadays, the family are still in the same spot. They're now one of West Australia’s most renowned producers and were named Best Value Winery in 2017 by the country's leading wine critic, James Halliday. Full bodied and velvety with notes of blackberry and bay leaf. Wonderful when paired with beef stew."
59,"Simpsons Wine Estate Rosé 2019, England",Pinot Noir,"This English rosé is made by Ruth and Charles Simpson. Until 2012, the couple only made wines at their acclaimed Southern French estate, Domaine Sainte Rose. But they returned home, driven by the UK's increasing winemaking potential. The couple now bring their French winemaking knowledge to the beautiful Kent countryside. This elegant pink is distinctly English, with grapefruit, lychee, and stone-fruit aromas. Its mouth-watering saline acidity makes it a perfect match for seafood with a squeeze of lemon."
60,"Louis Pommery English Brut, Hampshire",Chardonnay,"After a space race between all of Champagne's biggest names to get here first, Pommery is the first house to launch English fizz. Teaming up with Hampshire-based Hattingley Valley, owned by the chairman of Wines of Great Britain, it's applied the same traditional method that it uses back home to craft a crisp, arrow-precise bouquet of waxy lemon, Granny Smith, freshly baked bread and honeycomb."
61,Chablis 'Vieilles Vignes' 2019 Domaine Michaut Frères,Chardonnay,"Whilst Chablis is always a treat, this old vine expression is seriously luxurious. Made by Domaine Michaut Frères which has been in family hands since the 1950s, it'smade from vines 40 years old at the very youngest. This lower yielding vines lead to a concentration of aromas and exceptional roundness in the mouth. Expect a very fresh, lively nose of flint, green apple, lemon and a hint of mushroom. These aromas are supported on the palate by mouth watering flavours of lime-flower, ripe lemon and acacia."
62,Definition Mâcon-Villages 2019,Chardonnay,Mâcon-Villages wines are a step up in quality from much made elsewhere in Burgundy. A warmer climate and lower rainfall are perfect for the slow ripening of Chardonnay grapes. So you can expect ripe aromas of peach and apricot with the delicate minerality in the Definition.
63,"Dominus 2016, Napa Valley",Cabernet Sauvignon,"This is your rare chance to taste a 100 Parker Point wine. What's more, Lisa Perotti-Brown, who reviewed it, said ""If I could give more than 100 for this one, I would"". Made by Christian Moueix, one of the world's most respected, in-demand winemakers, this is a Napa Valley Bordeaux blend at its very best. Expect lashings of red cherries, almond, pomegranate and tobacco and silky tannins. Jeb Dunnuch and James Suckling both gave it 98 points."
64,"Stag's Leap 'Hands of Time' Red Blend 2017, Napa Valley",Cabernet Sauvignon,"Stag’s Leap shocked the world and beat the finest Bordeaux in the legendary Judgment of Paris in 1976. Ever since, theirs have become some of the most collected wines in the world. This Bordeaux blend really shows why they demanded the respect of those wine critics 34 years ago. Expect notes of dark fruit and chocolate truffle. Try this with pork tacos."
65,"La Belle Angèle Pinot Noir 2019, VdF",Pinot Noir,"La Belle Angèle Pinot Noir is as delicate as the artists' muse that it's named after. This light red wine shows intriguing aromas of morello cherry and spice, all balanced by a refreshing acidity. Pour a generous glass to accompany a charcuterie board."
66,Château de Santenay Saint-Aubin 2017,Chardonnay,"Although it's tucked between the two prestigious ‘Montrachet’ villages of Chassagne and Puligny, you can still find great value in Saint-Aubin. And it has its own fantastic reputation for fine, steely Chardonnay. This is made on a small 4-hectare vineyard there. It has notes of apricot, citrus and vanilla. Serve this lightly chilled with sea bass."
