,name,grape_variety,description
170,Definition Chablis 2019,Chardonnay,"The brief was to find a wine that went amazingly with smoked salmon, as any great Chablis should. That meant a creamy, lively, savoury, rich wine - not too many boxes to tick then. Our Chablis, a classic example of this famous wine. Find crisp citrus fruits, a hint of white flowers and a touch of oatmeal. The Majestic Wine Definition range captures the quintessential qualities of the world's greatest wine styles, with a little help from some of the world's greatest winemakers"
171,"BenMarco Plata Chardonnay 2020, Uco Valley",Chardonnay,"This is made under the watchful eye of Susana Balbo. She was the first woman to graduate with a winemaking degree in Argentina and was president of Wines of Argentina three times. So, as you'd imagine, it's delicious. It's fresh and aromatic, with notes of citrus, vanilla and white flowers. Excellent with Thai foods."
172,Laurent-Perrier Rosé Champagne & 2x Champagne Glasses,Pinot Noir,"The elegant 16th-century bottle shape may give it away. But this is one of the finest pink Champagnes going. It's made purely from the demanding Pinot Noir grape and has divine notes of raspberry, redcurrant and strawberry."
173,"Château Begadanet 2015, Haut-Médoc",Cabernet Sauvignon,"Château Begadanet is a single family-owned vineyard in the village of Begadan, which is classified as a Cru Bourgeois area. The family makes this Merlot-dominated blend from vines with an average age of 35-years-old. With an excellent structure, this is a classical style of claret with notes of briar fruit and cedar."
174,Louis Roederer 'Cristal' Champagne 2012,Chardonnay,"Cristal Champagne was first designed upon request of Tsar Alexander II. Fearful of an assassination attempt, he requested that his Champagne was served in clear bottle. And an icon was born. This is made from low-yielding Pinot Noir and Chardonnay vines and aged for six years on texture-building lees. It's complex, lively and powerful, with a concentrated, long finish and great balance. Serve with buttery chicken. William Kelley gave it a 97+ Parker Point score."
175,J Vineyards Russian River Valley Chardonnay 2018,Chardonnay,"This sun-drenched area in Sonoma County is associated with elegant and aromatic Chardonnay's. In this fruit-forward wine from J Vineyards, expect notes of apple, ginger and blosson. Try with pork loin."
176,Joseph Drouhin Montagny Premier Cru 2018,Chardonnay,"This exceptional white Burgundy is made on Premier Cru Montagny vineyards by the fourth generation of the Drouhin family. It's rounded and poised with notes of golden apple, citrus and almond. Pair this with white fish or soft, creamy cheeses."
177,Taittinger Comtes de Champagne 2008,Chardonnay,"Only made in Taittinger's best vintages, the 2008 vintage of this prestigious Taittinger collection is elegant and irresistible. Budding collectors, take note. This is also an excellent cellaring wine. In this remarkable champagne, you'll find notes of honeysuckle and nuts. Enjoy on its own or with dessert."
178,"Balfour Les Sixes 2014, Kent",Chardonnay,"This innovative sparkling English wine hails from the picturesque rolling hills of Hush Heath in Kent. It's made from Champagne grape varieties including Chardonnay, Pinot Noir and lesser-known Arbane. It's spent five years ageing on lees to develop its signature creaminess and structure. Expect an indulgent palate of shortbread, citrus and almond aromas. A superb apéritif."
179,Château Caronne Ste-Gemme 2014 Haut-Médoc,Cabernet Sauvignon,"When the neighbours’ wines go for £50+ a bottle you know you’re onto a good thing. Caronne St-Gemme is only 500 yards from St Julian, next door to Château Gruaud Larose and Château Lascombes – and itself produces classed-growth quality fruit. That makes it not just one of the most reliable Cru Bourgeois – it’s also one of the best value. It’s classic Haut-Medoc, predominantly Cabernet Sauvignon which means it has a firm structure and lots of tannin – so it’s great with protein, and can age fantastically. It’s packed with really rich, dark fruit flavours. Plum. Blackberry. Classic Cabernet cassis. Delicious with roast red meat."
180,Castelnau de Suduiraut 2013 Sauternes Half Bottle,Sauvignon Blanc,"This is the second wine of Château Suduiraut, a premier Cru Classé Sauternes whose vines border those of Château d'Yquem. Crafted after stringent grape selection, this is a well-made and elegant wine. With seductive aromas of fragrant orange blossom, spices and fudge. The smooth initial taste develops into soft sweetness on the palate backed by the delicate aromas that are found on the nose. Savour these great value half bottles as a partner to traditional smooth duck liver terrine or alternatively just enjoy it on its own."
181,Caves des Vignerons de Buxy 'Vieilles Vignes' Montagny 2018,Chardonnay,"Montagny is an appellation in the Côte Chalonnaise. It’s a real enclave of quality, specialising in Chardonnay. In fact, it’s the only grape that’s grown in the whole region – so Montagny-based Cave de Buxy really know their Chardonnay inside-out. Montagny’s limestone soils mean the wines are fresh, with a fuller body than other Chalonnaise wines. The fruit flavours are really pronounced – a factor amped up by the fact that it’s ‘Vielles Vignes’. It’s made using grapes from thirty-year-old vines. Because they’re old, they only yield small amounts of grapes – so all the flavour is exceptionally concentrated. Think ripe apple, citrus and white blossom. The ripeness is balanced by serious crispness, and it’s left unoaked so the fruit flavours can really shine through. Perfect with chicken."
182,Mâcon-Fuissé Vieilles Vignes 2019 Christophe Cordier,Chardonnay,"Taken from vineyards in Macon-Vergisson, La Roche or Saint-Sera (from declassified Pouilly-Fuisse fruit), this wine is a great-value alternative to some of the more expensive Cordier wines, made from the 'Christophe Cordier' negociant arm. A medley of ripe apple and zesty lemon fruit characters creates great depth and intensity, with some body coming from careful use of oak. Slight mineral in the form of slate is detectable on the palate. Excellent as an apéritif or with any kind of salad or white meat, this wine is best enjoyed over the next couple of years."
183,"Definition Chardonnay 2018, Limoux",Chardonnay,"This was one of the first wines we added to our Definition range. It’s a deeply luxurious oaked Chardonnay from Limoux – a region that’s a real insider secret for all but the most ardent Chardonnay lovers. It’s in the Langudoc, but it’s higher and cooler than the rest of the region – which means the wines are more concentrated, more aromatic and (we think) more delicious. Chardonnay thrives here. So, it was a real no-brainer to source a wine we called the ‘definition’ of Chardonnay from here. Pineapple. Peaches. Vanilla. It’s a wonderfully ripe, deliciously aromatic wine with a lovely creamy, full texture. A citrussy zing which balances the fullness of the wine. It’s delicious with anything cream or butter based, like Béarnaise sauce."
184,"Wolf Blass Yellow Label Chardonnay 2020, South Australia",Chardonnay,"Yellow Label is the original series from Wolf Blass, one of Australia's most awarded wineries. Founded in the Barossa Valley, grapes are now carefully sourced from particularly ripe parcels of fruit across South Australia and matured in oak. A rich, honeyed, vanilla-flavoured Chardonnay, showing smooth, tropical fruit flavours on the creamy palate. Try it with Chinese-style fish dishes or more traditional roast chicken."
185,"Laurent-Perrier La Cuvée, Champagne",Chardonnay,"Marie-Louise de Nonancourt knew what it took to run a Champagne house with the potential to become a household name. She steered the house through the Second World War until the return of her son, Bernard, from fighting with the French Resistance. No hero worship here, she insisted he do every job his future employees would have to. As a result, Bernard de Nonancourt was the only head of a Champagne house to have worked as a vines labourer, cellar and office worker and salesman. It gave him a complete grounding in the business which he fermented into the household name Laurent Perrier is today. The signature fresh, light, citrussy style is his invention. It’s appley and peachy. Of course, it’s a deliciously indulgent aperitif – especially because it’s excellent with canapés."
186,Moët & Chandon Grand Vintage 2012 Champagne,Chardonnay,"Vintage Champagne is only made in the very best years and the 2012 crop was exceptional. Moët remains one of the finest exponents of vintage Champagne and has made the most of this blockbuster year. Awarded 92-points by Wine Advocate, its 'Grand Vintage' is a sophisticated medley of expressive yellow orchard fruit, toasted nuts, fresh baked bread and honeycomb. A truly decadent flute filler."
187,"""R"" de Ruinart NV Champagne",Chardonnay,"Founded in 1729, Ruinart was the first house to export Champagne. They are one of the oldest Champagne houses and still continue to set the bar for classic and sought-after fizz. The 'R' is so elegant and subtle, it's considered the jewel in Ruinart's crown. It's golden in colour, with a consistent and fine mousse of. Expect notes of pear, apple, apricot and spice. Pair with poached scallops."
